L	-0.2034	3.3789	1477010443600000	-0.0517	3.2969	-0.1719	0.9851
L	-0.3462	4.0632	1477010444400000	-0.2923	4.0577	-0.4115	0.9114
L	-0.4105	4.9704	1477010445200000	-0.7145	4.7347	-0.6252	0.7804
L	-1.5099	5.4212	1477010446000000	-1.2919	5.2854	-0.7997	0.6004
L	-1.8544	5.6689	1477010446800000	-1.9880	5.6753	-0.9239	0.3827
L	-2.9505	5.9246	1477010447600000	-2.7593	5.8798	-0.9900	0.1409
L	-3.4484	5.8792	1477010448400000	-3.5572	5.8861	-0.9940	-0.1097
L	-4.1976	5.5765	1477010449200000	-4.3315	5.6937	-0.9354	-0.3535
L	-4.9056	5.3683	1477010450000000	-5.0337	5.3148	-0.8182	-0.5750
L	-5.4566	4.7009	1477010450800000	-5.6197	4.7732	-0.6495	-0.7604
L	-6.1703	4.2454	1477010451600000	-6.0525	4.1029	-0.4400	-0.8980
L	-6.5076	3.5124	1477010452400000	-6.3050	3.3460	-0.2028	-0.9792
L	-6.5576	2.6896	1477010453200000	-6.3614	2.5501	0.0471	-0.9989
L	-6.2096	1.6417	1477010454000000	-6.2180	1.7652	0.2940	-0.9558
L	-5.8267	1.0230	1477010454800000	-5.8840	1.0406	0.5225	-0.8527
L	-5.0178	0.5828	1477010455600000	-5.3802	0.4218	0.7181	-0.6959
L	-4.8560	-0.0235	1477010456400000	-4.7384	-0.0523	0.8686	-0.4955
L	-3.7609	-0.3566	1477010457200000	-3.9988	-0.3518	0.9646	-0.2639
L	-3.3419	-0.5872	1477010458000000	-3.2080	-0.4580	0.9999	-0.0157
L	-2.3177	-0.4544	1477010458800000	-2.4157	-0.3642	0.9724	0.2334
L	-1.8099	-0.2449	1477010459600000	-1.6715	-0.0764	0.8838	0.4679
L	-1.0802	0.5803	1477010460400000	-1.0223	0.3876	0.7397	0.6730
L	-0.3733	1.0510	1477010461200000	-0.5089	0.9983	0.5491	0.8358
L	-0.1297	1.7145	1477010462000000	-0.1635	1.7176	0.3240	0.9461
L	0.0100	2.6916	1477010462800000	-0.0079	2.5002	0.0785	0.9969
L	0.2398	3.2372	1477010463600000	0.0345	3.2982	0.1409	0.9900
L	0.3367	4.0744	1477010464400000	0.2511	4.0662	0.3827	0.9239
L	0.8988	4.7995	1477010465200000	0.6518	4.7561	0.6004	0.7997
L	1.2319	5.3067	1477010466000000	1.2116	5.3248	0.7804	0.6252
L	1.7868	6.0586	1477010466800000	1.8952	5.7363	0.9114	0.4115
L	2.6811	5.8297	1477010467600000	2.6596	5.9649	0.9851	0.1719
L	3.4324	6.2327	1477010468400000	3.4569	5.9962	0.9969	-0.0785
L	4.2182	5.7782	1477010469200000	4.2369	5.8283	0.9461	-0.3239
L	5.1356	5.6432	1477010470000000	4.9507	5.4717	0.8358	-0.5490
L	5.5039	5.0034	1477010470800000	5.5533	4.9487	0.6730	-0.7396
L	6.1328	4.3275	1477010471600000	6.0070	4.2923	0.4679	-0.8838
L	6.2070	3.7193	1477010472400000	6.2832	3.5437	0.2334	-0.9724
L	6.5269	2.8258	1477010473200000	6.3645	2.7500	-0.0157	-0.9999
L	6.0467	1.9807	1477010474000000	6.2459	1.9610	-0.2639	-0.9646
L	5.8543	1.1988	1477010474800000	5.9347	1.2262	-0.4955	-0.8686
L	5.3591	0.6816	1477010475600000	5.4507	0.5919	-0.6959	-0.7181
L	5.0041	0.3218	1477010476400000	4.8241	0.0979	-0.8526	-0.5225
L	4.2504	-0.0646	1477010477200000	4.0943	-0.2247	-0.9558	-0.2940
L	3.2846	-0.4168	1477010478000000	3.3072	-0.3557	-0.9989	-0.0471
L	2.3066	-0.4907	1477010478800000	2.5123	-0.2868	-0.9792	0.2028
L	1.3736	-0.0163	1477010479600000	1.7594	-0.0225	-0.8980	0.4399
L	1.0520	0.3534	1477010480400000	1.0960	0.4208	-0.7604	0.6494
L	0.5201	1.0321	1477010481200000	0.5637	1.0152	-0.5750	0.8181
L	0.1739	1.5457	1477010482000000	0.1959	1.7233	-0.3535	0.9354
L	0.0806	2.4025	1477010482800000	0.0157	2.5006	-0.1097	0.9940
